review_profile_name,review_rating,review_title,review_body,review_context,review_link,review_id,Place,Date,sentiment_label
Asmaa Seth,2,The charger stopped working within a month..,The phone is fine but the charger quality is so bad that it stopped working within a month.,Reviewed in India on 19 May 2022,/gp/customer-reviews/R17G89TPSMEVGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,61,India,19-05-2022,NEGATIVE
Asterio,5,Good,Loving my new iPhone 13! The camera quality is fantastic and the design is very elegant. The performance is smooth,Reviewed in India on 12 July 2024,/gp/customer-reviews/R3JD0MAT89W10P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,62,India,12-07-2024,POSITIVE
Avinash Bhor,2,Half the thing iPhone cannot do like Android,"Android is the best. The iPhone 13 heats up during charging, and the battery life is underwhelming. Also, the phone hangs occasionally. It’s not worth the high cost.",Reviewed in India on 5 January 2023,/gp/customer-reviews/R2B8FSVNRG58HI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,63,India,05-01-2023,NEGATIVE
Avinash Gupta,2,Rear Camera not working,Rear Camera not working and unable to replace mobile.,Reviewed in India on 27 March 2023,/gp/customer-reviews/R3KFPB0BLVBLW8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,64,India,27-03-2023,NEGATIVE
Awesome product,5,The quality,Features quakity,Reviewed in India on 31 July 2024,/gp/customer-reviews/R2GDX4OS9KTJJ4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,65,India,31-07-2024,POSITIVE
Ayush,5,Fantastic phone go for it,If under 45k go for itnever get regret,Reviewed in India on 27 July 2024,/gp/customer-reviews/R2YTXCTJH7R7M0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,66,India,27-07-2024,POSITIVE
Azhar Islam,2,battery not upto the mark,Everything about this iphone is good axcept battery. I have tp charge it twice a day and camera is good not best but video recording is beast settings app hangs sometimes and background app refresh doesn't work properly maybe it will get better with update,Reviewed in India on 3 March 2023,/gp/customer-reviews/R3B9GLTOYGYJLP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,67,India,03-03-2023,NEGATIVE
Aztech,5,Apple phone,"As it is an apple product, quality is ensured and proven",Reviewed in India on 22 August 2024,/gp/customer-reviews/R159GE2Q7WQVXW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,68,India,22-08-2024,POSITIVE
"Battery health is not good, battery percentage decreased continuously and without mobile usage",2,Battery prob,Battery decreased continuously,Reviewed in India on 25 May 2024,/gp/customer-reviews/R1051YXR94I945/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,69,India,25-05-2024,NEGATIVE
Beena,1,No support from Amazon,During the startup itself the phone hangs and I wanted to return.Time was there till 9th July.When I tried to return there is no option nor I didn't get support from Amazon.I was really upset with Amazon.,Reviewed in India on 16 July 2024,/gp/customer-reviews/ROYETZPCOFBZM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,70,India,16-07-2024,NEGATIVE
Bharadwaj,5,Best iPhone,Affordable priced iPhone. Great build quality and fabulous user experience,Reviewed in India on 31 August 2024,/gp/customer-reviews/R29WS3N7ZTHQ2F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,71,India,31-08-2024,POSITIVE
BHARATHARAJU,4,Good product,Good product,Reviewed in India on 17 August 2024,/gp/customer-reviews/R1EX5JO6F9A4L5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,72,India,17-08-2024,POSITIVE
Bicky,4,Only problem is the battery,"Battery time was low , often need to charge two times a day",Reviewed in India on 26 May 2024,/gp/customer-reviews/R308C5B9U321FO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,73,India,26-05-2024,POSITIVE
Bishwajeet Roy,1,Fake phone,"Camera not good in my phoneNo water resistant, totally blanked out in 10 minutes rain while resting inside my pocket",Reviewed in India on 22 August 2024,/gp/customer-reviews/R305Q0NBDCHUE5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,74,India,22-08-2024,NEGATIVE
Biswanath Ghosh,2,Heating issue and poor battery life,Price: 81kProblem: 1. Heating issue2. Poor battery lifeThat's all from my side now it's your choice.. 🙏,Reviewed in India on 19 June 2022,/gp/customer-reviews/R15KT09WM0610Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,75,India,19-06-2022,NEGATIVE
Blabz,4,Awesome price,Got this in sale for a super value price. Phone is good one can find lots of reviews on it elsewhere.One star reduced because amazon collected 1k more at the time of exchange on a flawless phone exchange with no reasons and complaint which was raised to be resolved in 72hrs is on shelf.Be careful with exchange sometimes it can be misleading.,Reviewed in India on 17 October 2023,/gp/customer-reviews/R11TTT00HYVEV7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,76,India,17-10-2023,POSITIVE
Bobby,5,It’s completely worth it product,I’m using it from almost 2 months there no issue I’m facing as such now …camera quality is great 👍 and best part is it’s Display gives you premium experience u can go for it,Reviewed in India on 17 August 2024,/gp/customer-reviews/RACO676WH8VYK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,77,India,17-08-2024,POSITIVE
Bodiredla krishna venkata naga Durga trinadh Reddy,1,Not up to the mark,At first so excitedto take an iPhone.. Which went in vein.. Heating issue while charging.. Lag In every app.. I have no pros to say.. Even after updates,Reviewed in India on 28 August 2024,/gp/customer-reviews/RNXLX1IKLTFQK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,78,India,28-08-2024,NEGATIVE
C chennappa,2,Overheating while using,Over heating issue,Reviewed in India on 25 April 2024,/gp/customer-reviews/R3EKC8BCI6SDZY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,79,India,25-04-2024,NEGATIVE
CHAITAN,2,Gaming,"iPhone 13 for bgmi is actually, averageIt provide 60 FPS But so heat without AC or fan, don’t purchase iPhone 13, if you want to Purchase Then go to android, is better option?If you play out games, I think you go to android is best because I think every phone in android will get 90 FPS I definitely recommend to buy Iqoo 12 🫨",Reviewed in India on 24 August 2024,/gp/customer-reviews/R1EHIAFKGVJPI5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,80,India,24-08-2024,NEGATIVE
chetana kaushik,5,i phone,camera quality is top,Reviewed in India on 11 August 2024,/gp/customer-reviews/R1834ZUAPDN4T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,81,India,11-08-2024,POSITIVE
Chethan,1,Do not buy from this seller or from amazon,I brought a new iPhone 13 and when we opened the touch is not responding at all.I called the support number and they gave the apple support number. I called apple support and they asked to visit the service centre.,Reviewed in India on 16 February 2024,/gp/customer-reviews/R1FQVBRY0H2RBJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,82,India,16-02-2024,NEGATIVE
Consumer,4,Good Choice,Good Camera Quality in Night as well as in Day Light Battery should be an issue for such consumers who use it for heavy use other wise good product at that price 45k,Reviewed in India on 14 December 2023,/gp/customer-reviews/R1D3HWJM3FDKR8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,83,India,14-12-2023,POSITIVE
Consumer,2,iPhone delivered in Unsealed box,"iPhone delivered in Unsealed box. Battery drains quickly and the phone heats up a lot, especially with heavy use. The iPhone 13 is overpriced for what it delivers.",Reviewed in India on 23 January 2023,/gp/customer-reviews/R1ILH8B3FNKOGA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,84,India,23-01-2023,NEGATIVE
debarghyo chaudhuri,4,Review after 1 week of usage,"Got it for 65K on Amazon prime day. So as a lifelong android user I have switched to IOS. So will be dividing this into the pros and negs:Product red 128GBPros:1) Received genuine product from Amazon( was quite sceptic about it though)2) Built quality excellent3) Camera quality excellent. True to life color reproduction, Indoor conditions amazing, night photos are good, facial tones are very good, day clicks are amazing. In short it's an amazing exp. Selfie cam also produces very good quality images. And also no shift in dynamic range while shifting B/W wide and ultra wide cams.4) Display:- Its a really great display, not 120 hz, but the experience is no less than a 120 hz, coz of apple's great software optimization, buttery smooth, no jitters on the screen, won't feel like a 60 hz panel. Now the notch, yes it will be bothering a little bit but its got its own functions, face unlock and stuff (works great in all environmental conditions)after a little while you get adjusted and it got its own magic functions like when when the phone rings and you go close to it, it detects your presence and lowers the vol level.5) Performance: Most powerful processor in the world.6) Battery:- With light usage will easily go for 2 days and with heavy 1 day. Remember to follow a charging pattern and it will give a solid battery exp.7) Speakers: Very loud with a small thumpCons:1) To keep photos and stuff you need to buy storage. 5 GB by default but that's nothing. Download google photos as an alternate sol. if you don't wanna buy storage.2) File management system sucks, android is much better.3) It has dolby atmos but for that you need a subscription to Apple music.4) Does not have a telephoto cam, which I think is a must at this price point.5) Somehow I am not getting 4g+ on my airtel, don't know why but in my android phone always used to get that.6) No USB C7) Siri is dumb AF8) Apple maps are not good, so download Google maps.9) Google keypad is much better than apple's.10) Notification panel and those small things like typing in the notification panel and other things that you can do in android is much much better than apple.11) As of now no haptic feedback while typing maybe coming on IOS 16Note:- Apple ecosystem still exploring that part but whenever you click any pic it automatically gets updated and I can see it in my Macbook also.Overall I would say if you are planning to buy a phone for responsiveness and does the everyday stuff without any hanging problems and stuff then buy it, and also if you are planning to keep it for a long time, then I think its a good investment for the future. Its got Great resale value.Hope this helps in making your decision easier.Update after 2 weeks of usage:All the above points remains the same, but I did check out the ecosystem and the experience has been amazing.1) I can receive and make phone calls (cellular calls) from my macbook, and the call quality is also good.So basically you can keep your phone in some other section of the house and you are working with your macbook somewhere else and if some call comes you can receive that on your macbook. PS:- your phone and macbook should be connected to a similar network, i.e wi-fi.2) Airplay- Just from the lock screen itself i can play any video and also listen to music from my phone. So basically you can watch youtube amazon prime videos(app not in the macbook but present on phone) and other stuff and also listen to music, and the switch of devices is also seamless. So someone in my house can use my macbook to watch movies on amazon prime(playing from my phone) and I can browse linkedin or FB from my iphone.",Reviewed in India on 30 July 2022,/gp/customer-reviews/R16W6CTIKEUDKM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,85,India,30-07-2022,POSITIVE
Debopriya,1,Overheating,"It is a brand new phone and it is overheating a lot during charging, video calls, regular phone use. This is not expected from a brand new phone. My advise to everyone would be please please please don’t buy this product from Amazon/seller. It is much better to buy from the store itself. It is definitely defective or from very old stock. And Amazon is not allowing for a refund for this product as well. No replace/refund - but option is available. It’s just a way to defraud buyers. Not expected at all. Especially from Amazon.",Reviewed in India on 28 November 2023,/gp/customer-reviews/R1A4DW5HUZV3LN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,86,India,28-11-2023,NEGATIVE
Devendra Lipane,1,Bad,"The iPhone 13 heats up a lot during charging, and the battery life is not as good as I had hoped. Also, there’s no charger included in the box.",Reviewed in India on 9 April 2024,/gp/customer-reviews/R3KC2A7V1LHZ1M/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,87,India,09-04-2024,NEGATIVE
Dhinesh.S,1,Disappointed from both,"After a long wait for Great indian festival , I ordered a iPhone 13 and received on 13th October,the delivery also horrible. After receiving the product , for one day .I charged phone fully on 90%but it always stop to 30% within 5 hours on low power mode without using any social network application , camera including web browser . the battery information gives report of clearly shows in graph ,usage of phone. but power Downed for few hours after the full charge .then I contacted the Apple team. they suggested to reset the phone and update the latest17 iOS. butI am not satisfied with the solution and then I contacted the Amazon customer care they gave a simple of it .It is a brand warranty . warranty so you should contact the Apple service centre . I paid 48000 for this one. Really I am disappointment with the both seller and brand also",Reviewed in India on 17 October 2023,/gp/customer-reviews/R33VJ7SGCQGHQY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,88,India,17-10-2023,NEGATIVE
Dhruv s.,4,1 star cut for heating issue,"Its 8 month and battery health is 90%To nullify heating I’ve ordered a cooler with Hit sink technology, works like refrigerator .Otherwise phone is so smooth , my storage is fullStill consistently giving great camera performance",Reviewed in India on 11 July 2024,/gp/customer-reviews/R37L87VK6ST9UF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,89,India,11-07-2024,POSITIVE
Dinesh,2,Silent mode button not working,Not expected this from Amazon.,Reviewed in India on 10 October 2023,/gp/customer-reviews/RKCU8NLQS4C41/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,90,India,10-10-2023,NEGATIVE
Dinesh Choudhary,2,Heating problems,"The phone gets hot with heavy usage, and the battery life isn’t great. Plus, there’s no charger in the box, which is quite inconvenient.",Reviewed in India on 9 October 2023,/gp/customer-reviews/RQDIIH18V01N3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,91,India,09-10-2023,NEGATIVE
EBADUR RAHMAN MAJUMDAR,4,Quality,Nice one,Reviewed in India on 12 August 2024,/gp/customer-reviews/R10HZ6QX4CEG4T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,92,India,12-08-2024,POSITIVE
Eswar,4,good,good,Reviewed in India on 6 May 2024,/gp/customer-reviews/R3EZRLZ2BBO6SH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,93,India,06-05-2024,POSITIVE
Examboard,5,Awesome Quality,Nice phone to use,Reviewed in India on 14 July 2024,/gp/customer-reviews/R106JW4V652L1A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,94,India,14-07-2024,POSITIVE
Faiyaz,4,Amazing Phone 🤍,"Design:The iPhone 13 retains the iconic design of its predecessors, but with some subtle refinements. The overall construction is sleek and elegant, featuring a durable aerospace-grade aluminum frame and ceramic shield front cover for improved durability. The device is available in a range of attractive colors, catering to different aesthetic preferences.Display:One of the most significant upgrades is the stunning Super Retina XDR display, which offers vivid colors, deep blacks, and outstanding brightness. The improved refresh rate provides smoother scrolling and more responsive touch interactions, making it a delight to use for various tasks, from browsing the web to watching videos and playing games.Performance:Powered by the latest A15 Bionic chip, the iPhone 13 delivers exceptional performance across the board. The processing power ensures seamless multitasking, swift app launches, and impressive gaming capabilities. The neural engine's advancements further enhance machine learning tasks, contributing to better efficiency and smarter features.Camera:The iPhone 13's camera system is a standout feature, significantly raising the bar for mobile photography and videography. The dual-camera setup, comprising wide and ultra-wide lenses, captures stunning images with sharp detail, accurate colors, and improved low-light performance. The addition of Cinematic mode for video recording introduces a new level of creativity, allowing users to achieve professional-looking focus transitions and selective focus effects.Battery Life:The iPhone 13 boasts impressive battery life, keeping pace with the demands of modern usage. Whether you're streaming content, navigating with GPS, or engaging in video calls, the device offers extended endurance, reducing the need for frequent recharging. This improvement is a game-changer for users who rely on their smartphones throughout the day.Connectivity:With support for 5G networks, the iPhone 13 ensures faster download and upload speeds, enabling seamless streaming, swift downloads, and lag-free online experiences. The expanded 5G coverage allows users to stay connected in more locations, tapping into the potential of next-generation connectivity.",Reviewed in India on 5 January 2024,/gp/customer-reviews/R24WOSD1X14AHT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,95,India,05-01-2024,POSITIVE
Faizan,4,Good,Good,Reviewed in India on 21 April 2024,/gp/customer-reviews/R2ZUQGK9NO5TT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,96,India,21-04-2024,POSITIVE
Gagandeep,1,Very bad,Very bad,Reviewed in India on 26 July 2024,/gp/customer-reviews/R1D0TWQU5DB07U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,97,India,26-07-2024,NEGATIVE
gagandeep singh,1,Bad,"Battery life on the iPhone 13 is disappointing. It drains quickly, and I find myself charging it more often than expected.",Reviewed in India on 20 August 2024,/gp/customer-reviews/R3R6KYUOPZQ00S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,98,India,20-08-2024,NEGATIVE
Gopee,5,Excellent,No words…. Excellent phone as usual from Amazon,Reviewed in India on 7 August 2024,/gp/customer-reviews/R2XAOX5CG1F036/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,99,India,07-08-2024,POSITIVE
Gudiya,1,Battery sucks,Battery backup is pathetic ..Regretting buying it :( it's not even one month and I have two charge it twice and thrice :( return window is closed now else I would have returned it,Reviewed in India on 19 June 2024,/gp/customer-reviews/R2P00HGK6HNZ4P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,100,India,19-06-2024,NEGATIVE
Gurbhej Gill,4,Fantastic phone,"I have been using this phone since last 2 months.camera quality is very good.The battery backup is good and lasts for 5 hours on a single charge.There is a problem in the phone, sometimes when a call comes, the sensor system does not work when you move the phone away.",Reviewed in India on 6 December 2023,/gp/customer-reviews/R2CCFPH4XSBWZI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,101,India,06-12-2023,POSITIVE
Hage l.,1,What could it be Software or harware problem???Very disappointed.,"The iPhone 13 gets really hot during use and the battery drains faster than I expected. For the price, it’s not meeting my expectations.",Reviewed in India on 13 May 2024,/gp/customer-reviews/RUDCYU1TIFJCQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,102,India,13-05-2024,NEGATIVE
Harish l,4,Cam phone,It was an amazing phone either than heating issues we can get an absolute cinematic experience in cinematic mode@apple,Reviewed in India on 5 June 2024,/gp/customer-reviews/R3Q1SCDH06AB2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,103,India,05-06-2024,POSITIVE
harsh gupta,4,Good phones battery issue,Battery issue,Reviewed in India on 12 April 2024,/gp/customer-reviews/R2N6Y3TG9RHLYO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,104,India,12-04-2024,POSITIVE
Harsh Kr Harshit,2,Speekar problem,"The iPhone 13 heats up a lot during charging and has poor battery life. Also, it’s quite expensive and doesn’t seem to justify the price.",Reviewed in India on 28 May 2023,/gp/customer-reviews/RS3AH759VNJWY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,105,India,28-05-2023,NEGATIVE
HARSHITGARG,1,Lose your hardearned money,Wrost phoneNo battery backupHighly restriction on using phone and apple say for security purpose,Reviewed in India on 9 July 2024,/gp/customer-reviews/R31DD4VJ2NWE13/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,106,India,09-07-2024,NEGATIVE
Het Parikh,1,Never clear voice on phone calls,Whenever there is a phone call the other person can never hear voice clear,Reviewed in India on 20 July 2024,/gp/customer-reviews/R1NZI4ME3QON86/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,107,India,20-07-2024,NEGATIVE
Hitesh Makwana,4,Nice Handset,Camera quality is just awesome 😎Battery life is also niceOnly problem you will face if you switch from Android is refresh rateAnd don't know but apple keyboard isn't made for chatting or typing in lo al language.,Reviewed in India on 12 March 2024,/gp/customer-reviews/R2QGHO3C7RNT5T/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,108,India,12-03-2024,POSITIVE
Honey BhAtli,5,Go for it,Nice product in this price range....Go for it,Reviewed in India on 12 July 2024,/gp/customer-reviews/RTF3N4P08NGSW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,109,India,12-07-2024,POSITIVE
Hruaii,1,Bad/old product sold as new,"Bought this product on 19th of december 2023 and after using one month bugging is there and on march20224, the phone just suddenly turns black and and cannot be switch on again.",Reviewed in India on 10 March 2024,/gp/customer-reviews/RYY3AVO55CAOO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,110,India,10-03-2024,NEGATIVE
"I have received defective iPhone 13, mobile phone restarting automatically, lagging, WiFi & blutooth is not working, I am very disappointed from seller & Amazon we trusting you to pay entire amount in advance & you are delivering defective product to your customers I am requesting you to please replace my order as on priority basis otherwise I will make a complain against you I have phone videos & photos.",1,"Delivered defective iPhone13, restarting automatically don't trust Amazon & Sellers."," have received defective iPhone 13, mobile phone restarting automatically, lagging, WiFi & blutooth is not working, I am very disappointed from seller & Amazon we trusting you to pay entire amount in advance & you are delivering defective product to your customers I am requesting you to please replace my order as on priority basis otherwise I will make a complain against you I have phone videos & photos, & customer care video recording I will publish on Twitter or social media, kindly look into this.",Reviewed in India on 17 October 2023,/gp/customer-reviews/R2XEIP05AMFY6O/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,111,India,17-10-2023,NEGATIVE
ibraheem k.,1,Incoming call problem with this handset,Any one who call on my phone at first time it shows that user is busy and second time if callwithin 2-3 minthen it connect. First time call it shows as missed. It persist from day one when i put sim card. This is both for physical as well as esim. What should i have to do to get rid this problem.,Reviewed in India on 16 January 2024,/gp/customer-reviews/R1DBWO0SA0CTJ0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,112,India,16-01-2024,NEGATIVE
Ibrahim Ahmed,1,A white dot bubble on the iPhone 13 screen when the product cover is opened.,"A white dot that resembles a bubble appears on the Apple iPhone 13 (512GB) screen when the product cover is opened. I chatted with 8 peresons on Amazon for 4 hours, during which time they advised me to upload multiple types of photos many times. After that, I was told to contact the Apple Brand Service Center, Bye-Pass Juntion Aluva. When I went to the brand centre they said they are not authorized service center.Do you mean we have to fix the problem ourselves if we buy the damaged item from you?",Reviewed in India on 23 December 2023,/gp/customer-reviews/R2IM0P71XAPHFH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,113,India,23-12-2023,NEGATIVE
Ishan Dadwal,5,Better quality photos,I realy happy about its performanceBut its Battry health will decrease rapidly ‘at last it is a good choice to buy an iPhone❤️,Reviewed in India on 11 August 2024,/gp/customer-reviews/R2OPIP52IK6JIB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,114,India,11-08-2024,POSITIVE
Ishwar,4,Nothing special,"What do you want to hear about iPhone,if you are reading this review,it means that you have already done enough research to buy it.so, congratulations for your new iphone🎉",Reviewed in India on 24 March 2024,/gp/customer-reviews/R2QJJXQTHUPWZA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,115,India,24-03-2024,POSITIVE
Ishwar,2,Box barcode is stretched,I received product and product is ok but box barcode label is. Streched not showing properly.,Reviewed in India on 12 October 2023,/gp/customer-reviews/R1Z0VOXPYEM4P9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,116,India,12-10-2023,NEGATIVE
Jagmohan K.,5,⭐⭐⭐⭐⭐ Great Phone - Super Happy with My iPhone 13!,"I've been using the Apple iPhone 13 (Blue) for six months now, and it's been fantastic. Here's my take:Design:The blue color looks really cool and the phone feels premium. It's sleek and comfortable to hold.Screen:The display is sharp and bright. Watching videos and scrolling through photos looks amazing.Speed:This phone is super fast. I've had no issues with lag, even when playing games or multitasking.Camera:The cameras are awesome. Photos come out clear and vibrant, and it works great in low light too. Video recording is top-notch. Battery:The battery life is solid. I get through a full day easily, even with heavy use. Fast charging is a nice plus.Software:iOS is smooth and easy to use. I love how well it works with my other Apple devices.Overall, the iPhone 13 is a great phone and I'm really happy with it. Definitely recommend it!",Reviewed in India on 25 June 2024,/gp/customer-reviews/R17RTN2PR117MG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,117,India,25-06-2024,POSITIVE
jameer basha,5,Amezing,Super super super,Reviewed in India on 1 August 2024,/gp/customer-reviews/R379E85WNZJOV2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,118,India,01-08-2024,POSITIVE
Jasbir singh,4,Nice,M loving it ......,Reviewed in India on 16 August 2024,/gp/customer-reviews/R1X2LUK4BIBJ6P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,119,India,16-08-2024,POSITIVE
Jayadeva,5,Good,Overall is good,Reviewed in India on 23 July 2024,/gp/customer-reviews/R19IJKIUN1R45J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,120,India,23-07-2024,POSITIVE
Jayant,4,iPhone 13 (BLUE),"iPhone 13 is like wow , I have updated from my iPhone SE 2020 to 13 and then I’m feeling like wonderful.the phone camera is 4.5 out of 5 .Multitasking is very easy and thanks to Amazon for secure packaging.",Reviewed in India on 2 March 2024,/gp/customer-reviews/R19XVXMM6CZ7PK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,121,India,02-03-2024,POSITIVE
Jayesh Kumar Mantry,4,Best phone experience.,"Design:The iPhone 13 retains the classic Apple design with a sleek and modern appearance. It's available in various colors, catering to different tastes. The build quality is top-notch, with a Ceramic Shield front cover and durable materials that feel premium in hand.Display:The device features a Super Retina XDR OLED display, which offers vibrant colors, deep blacks, and impressive brightness. It's perfect for watching videos, browsing the web, or gaming. The display quality enhances the overall user experience.Performance:Apple's A15 Bionic chip powers the iPhone 13, and it's a powerhouse. The device handles multitasking and demanding applications with ease. It's an excellent choice for both casual and power users. The performance improvements extend to better gaming experiences and faster app launches.Camera:The iPhone 13's camera system offers impressive photography capabilities. It features a dual-camera setup with sensor-shift optical image stabilization, Night mode, and Deep Fusion. These features result in stunning photos, even in low light conditions. The Pro models offer even more advanced camera options.Battery Life:One notable improvement is the battery life. The iPhone 13 provides all-day battery life, which is a significant advantage for users who rely on their phones for work and entertainment. You can expect long-lasting performance without frequent recharging.Software:The device runs on iOS, Apple's operating system known for its stability, security, and regular updates. iOS 15 brings new features like Focus mode, improved notifications, and enhanced FaceTime capabilities, which enhance the overall user experience.Connectivity:The iPhone 13 supports 5G connectivity, ensuring faster download and streaming speeds. It's also equipped with Wi-Fi 6 and offers a seamless online experience.",Reviewed in India on 2 November 2023,/gp/customer-reviews/R1Z9FOX3W761H9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,122,India,02-11-2023,POSITIVE
jerry vaz,1,Don not buy from Amazon,PLEASE DONT BUY PRODUCT FROM AMAZON AS THEY WILL NOT SUPPORT YOU AFTER DELIVERY AND YOU HAVE TO CONTACT APPLE AND AS PER THEM THEY WILL FOLLOW MULTIPLE STEPS AS YOU BROUGHT THE PRODUCT FROM THIRD PARTY PLEASE AVOID AND DO NOT GET TRAPED AS ITS YOUR HARD EARN MONEY—FACING BATTERY ISSUE WHICH IS DRAINING VERY FAST EVEN I AM NOT USING,Reviewed in India on 10 October 2023,/gp/customer-reviews/R3JHLVAFWMT4DP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,123,India,10-10-2023,NEGATIVE
Jithin Chacko,5,Good,"Nice phone , iam fully satisfied this phone",Reviewed in India on 23 July 2024,/gp/customer-reviews/R31XNDHULS5NVM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09G9FPGTN,124,India,23-07-2024,POSITIVE
